"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jarvan IV","Jungle",2,"0.9%","1.9%","5.1%","50%","100%",3,3,10,4.3,"76.5%","15.8%","0%",-182,-246,-2.5,5.3,"12.8%",232,"15.8%","15.8%",1.09,0.49
"Jarvan IV","Support",5,"2.3%","1.9%","5.1%","60%","60%",5,23,51,2.4,"70.0%","30.7%","40%",84,-134,-16,0.7,"2.4%",187,"8.8%","8.7%",1.69,0.52
"Jax","Top",1,"0.5%","0.5%","0.9%","0%","100%",0,1,0,0,"0.0%","7.7%","0%",97,120,4,8.8,"25.5%",344,"22.5%","23.0%",0.52,0.14
"Jayce","Top",22,"10.2%","14.9%","25.1%","55%","86%",54,69,111,2.4,"68.2%","28.0%","41%",530,346,16.5,8.6,"25.3%",611,"32.1%","24.0%",0.47,0.27
"Jhin","ADC",13,"6.0%","0.0%","6.0%","23%","62%",42,31,41,2.7,"60.1%","15.1%","15%",-117,-138,-2.6,9.3,"28.8%",397,"21.6%","26.0%",0.48,0.32
"Jinx","ADC",17,"7.9%","1.9%","9.8%","65%","82%",80,30,86,5.5,"72.8%","17.4%","24%",132,28,12.2,10.3,"33.1%",606,"31.5%","28.4%",0.44,0.58
"Kai'Sa","ADC",153,"71.2%","16.3%","87.4%","46%","17%",637,316,540,3.7,"63.5%","16.4%","18%",0,-25,2.3,9.7,"31.5%",427,"22.7%","27.1%",0.72,0.4
"Kalista","ADC",16,"7.4%","27.4%","34.9%","63%","63%",63,32,95,4.9,"69.3%","18.0%","25%",135,127,5.8,9.5,"30.2%",400,"20.4%","26.0%",0.8,0.49
"Karma","Support",2,"0.9%","0.0%","1.4%","50%","0%",1,3,15,5.3,"66.7%","9.1%","0%",124,133,-4,4.1,"11.3%",341,"14.0%","12.1%",1.2,0.28
"Karma","Top",1,"0.5%","0.0%","1.4%","0%","100%",1,3,3,1.3,"80.0%","18.8%","0%",-341,-104,4,7.6,"22.0%",521,"36.5%","19.6%",0.51,0.13
"Karthus","Jungle",2,"0.9%","0.5%","1.4%","50%","100%",6,8,8,1.8,"63.6%","23.5%","50%",117,274,7,7,"19.3%",779,"31.8%","20.5%",0.38,0.47
"Kassadin","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Top",1,"0.5%","0.0%","0.5%","0%","100%",3,4,2,1.3,"62.5%","25.0%","0%",-372,-422,-10,8.1,"23.6%",501,"24.0%","25.5%",0.6,0.24
"Kayn","Jungle",6,"2.8%","1.9%","4.7%","50%","100%",20,29,29,1.7,"65.3%","26.1%","17%",-141,-343,-5,7.2,"21.9%",383,"19.1%","21.6%",0.99,0.73
"Kennen","Top",6,"2.8%","5.1%","7.9%","50%","100%",7,16,30,2.3,"50.0%","21.6%","0%",57,5,5.2,7.6,"22.2%",494,"26.2%","19.4%",0.39,0.25
"Kindred","Jungle",11,"5.1%","4.2%","9.3%","64%","100%",30,37,63,2.5,"66.9%","25.9%","45%",38,-142,-3,7.1,"22.1%",424,"20.6%","20.9%",0.24,0.67
"Kled","Top",1,"0.5%","0.0%","0.5%","0%","100%",0,3,4,1.3,"100.0%","17.6%","0%",-24,34,0,7.5,"19.0%",532,"33.4%","19.5%",0.44,0.3
"Kog'Maw","ADC",1,"0.5%","0.0%","0.5%","0%","100%",2,3,2,1.3,"50.0%","15.8%","0%",554,-69,8,9.9,"30.9%",479,"35.3%","27.0%",0.51,0.44
"LeBlanc","Middle",1,"0.5%","0.0%","0.5%","0%","100%",3,1,4,7,"77.8%","4.2%","0%",-341,355,-3,9.9,"30.9%",688,"31.9%","28.3%",1.23,0.87
"Lee Sin","Jungle",4,"1.9%","0.0%","1.9%","25%","100%",9,8,18,3.4,"64.3%","13.1%","50%",-459,-953,-20.5,6,"19.1%",202,"11.6%","19.0%",0.61,0.31
"Leona","Support",39,"18.1%","4.7%","22.8%","54%","56%",28,118,279,2.6,"62.7%","27.4%","38%",63,46,0.3,1.2,"2.6%",112,"6.0%","8.5%",1.75,0.44
"Lillia","Jungle",64,"29.8%","27.4%","57.7%","44%","47%",164,143,370,3.7,"67.6%","17.9%","42%",42,72,1.2,6.6,"17.8%",363,"19.4%","19.1%",0.66,0.41
"Lillia","Middle",1,"0.5%","27.4%","57.7%","100%","0%",3,3,6,3,"90.0%","42.9%","0%",-422,-269,-2,9.1,"29.4%",484,"26.2%","25.2%",0.49,0.33
"Lucian","ADC",1,"0.5%","20.9%","27.9%","0%","100%",1,3,4,1.7,"62.5%","16.7%","0%",110,619,73,9.2,"31.6%",439,"27.3%","22.9%",0.38,0.21
"Lucian","Middle",14,"6.5%","20.9%","27.9%","79%","50%",66,24,66,5.5,"67.3%","16.3%","14%",304,222,8.5,10.2,"30.2%",615,"27.6%","27.4%",0.45,0.38
"Lulu","Support",3,"1.4%","2.3%","4.7%","67%","100%",0,10,30,3,"61.2%","25.6%","33%",300,121,-10,0.8,"3.0%",114,"5.5%","8.7%",1.66,0.54
"Lulu","Top",2,"0.9%","2.3%","4.7%","50%","100%",1,5,10,2.2,"68.8%","17.9%","0%",-239,-317,-0.5,4.9,"10.9%",265,"14.6%","14.0%",0.38,0.14
"Malphite","Top",2,"0.9%","0.5%","1.4%","50%","100%",2,7,10,1.7,"54.5%","29.2%","0%",-292,-81,-13.5,6.8,"20.3%",337,"24.5%","16.0%",0.44,0.27
"Maokai","Support",5,"2.3%","3.7%","6.0%","100%","100%",7,11,50,5.2,"62.6%","25.6%","60%",30,101,13.4,2.4,"6.7%",410,"18.1%","11.2%",1.23,0.41
"Miss Fortune","ADC",3,"1.4%","0.5%","1.9%","33%","100%",7,8,8,1.9,"42.9%","29.6%","0%",-341,263,0.3,9.1,"28.4%",425,"22.2%","23.9%",0.51,0.33
"Mordekaiser","Top",4,"1.9%","0.0%","1.9%","50%","100%",13,14,14,1.9,"55.1%","23.7%","0%",-731,-388,-11.8,7.6,"21.3%",425,"25.7%","20.6%",0.41,0.14
"Morgana","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
